Date,Title and Day Published,Days Since Published,Daily Views,Daily Likes,Daily Comments
1/26/23,"Last To Remove Hand, Gets Lamborghini Challenge - (2018-11-02)",1545,28481,639,-2
1/26/23,"You Pick The Right Cup, You Win $100,000! - (2018-10-28)",1550,2360,38,1
1/26/23,I Bought Every Billboard In My City For This - (2018-10-26),1552,2806,58,-20
1/26/23,"Ordering Water Then Tipping $30,000 - (2018-10-23)",1555,3263,76,-6
1/26/23,"I Spent $50,000 On Lottery Tickets And Won ____ - (2018-10-19)",1559,1486,23,0
1/26/23,"Last To Leave Circle Wins $10,000 - Challenge - (2018-10-12)",1566,33375,839,3
1/26/23,I Spent 24 Hours Straight In Slime - (2018-10-09),1569,5128,90,-1
1/26/23,"Surprising Tfue With $10,000 Live - Fortnite - (2018-10-04)",1574,7834,97,-1
1/26/23,"I Spent $30,000 On Lottery Tickets And Won ____ - (2018-09-28)",1580,1141,28,2
1/26/23,Flat Earth PROVEN By Independent Research - (2018-09-22),1586,4853,82,5
1/26/23,Things That SHOULDN'T Be Sold On Amazon - (2018-09-21),1587,61373,1734,7
1/26/23,"Surprising My 8,000,000th Subscriber With 8,000,000 ___ - (2018-09-19)",1589,3072,76,1
1/26/23,"I Donated $25,000 To Random Kids Streaming Fortnite - (2018-09-14)",1594,3983,98,-4
1/26/23,I Hope This Magic Trick Works - (2018-09-11),1597,5786,86,1
1/26/23,Can A Glowing 1000 Degree Sword Slice A Car In Half? - (2018-09-06),1602,10654,216,3
1/26/23,Rocket League In Real Life! - (2018-09-01),1607,3592,67,-2
1/26/23,Destroying My Friend's Car And Surprising Him With A New One - Slime - (2018-08-28),1611,12331,207,-3
1/26/23,Spending 24 Hours Straight Under Water Challenge - (2018-08-24),1615,71104,1994,7
1/26/23,"Attempting The Impossible Maze - $10,000 Challenge - (2018-08-15)",1624,12111,166,2
1/26/23,"Donating $100,000 To A Random Fortnite Streamer - (2018-08-05)",1634,2746,68,-5
1/26/23,Moving 10 Pounds Using ONLY Sound - (2018-08-02),1637,3330,54,1
1/26/23,Returning Destroyed Rental Cars Prank - (2018-07-27),1643,6316,95,1
1/26/23,"I Gave My 6,000,000th Subscriber 6,000,000 ____ - (2018-07-25)",1645,2250,34,0
1/26/23,"Can 1,000 Fans At Max Speed Push A Car? - (2018-07-17)",1653,7021,163,0
1/26/23,"I Donated $50,000 To Ninja - Fortnite - (2018-07-14)",1656,5904,100,-1
1/26/23,I Ubered Random People In A Tank - (2018-07-11),1659,6816,243,-1
1/26/23,World's Hottest Substance Vs Coldest Substance - (2018-06-30),1670,11226,189,-9
1/26/23,The Real Way Dinosaurs Went Extinct - (2018-06-28),1672,6844,144,-4
1/26/23,I Donated $1000 Every Time She Blinked - Fortnite Streamers - (2018-06-24),1676,1300,36,0
1/26/23,I Built A Working Car Using Only LEGOS - (2018-06-23),1677,28489,514,-2
1/26/23,Do Water Repellent Shoes Actually Work? - (2018-06-22),1678,34043,1261,-7
1/26/23,"We Drove 3,000 Miles For The World's Best Burger - (2018-06-09)",1691,8706,155,-6
1/26/23,"I Gave My 5,000,000th Subscriber 5,000,000 ______ - (2018-06-08)",1692,577,13,-1
1/26/23,I Made Money Grow On Trees - (2018-06-01),1699,1314,36,-1
1/26/23,I Took Apart My Friends Car And Put It In His Room - (2018-05-25),1706,1150,28,0
1/26/23,How Many Rubber Bands Does It Take To Snap A Safe? - (2018-05-22),1709,2979,60,-3
1/26/23,Pulling Cars Over Using A Toy Police Car - (2018-05-13),1718,1620,55,-2
1/26/23,"I Gave $500,000 To Random People - (2018-05-11)",1720,3515,77,-1
1/26/23,How Many Toy Cars Does It Take To Pull A Real Car? - (2018-05-04),1727,6315,92,-3
1/26/23,"I Gave $20,000 To People From An Ice Cream Truck - (2018-05-02)",1729,726,17,0
1/26/23,$10000 Ice Sculpture Vs Flame - (2018-05-01),1730,2471,64,0
1/26/23,"Can 1,000 Rolls Of Duct Tape Stop A Car?? - (2018-04-30)",1731,2649,61,2
1/26/23,Winning A Game Of Fortnite In The Middle Of The Ocean - (2018-04-25),1736,2415,61,-6
1/26/23,I Flew Using Only Balloons AND Leaf Blowers - (2018-04-23),1738,2929,58,3
1/26/23,"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record) - (2018-04-21)",1740,1338,30,-5
1/26/23,Destroying My Friend's Car And Surprising Him With A New One - (2018-04-13),1748,3761,55,2
1/26/23,Walking Up To Random People With 100 StormTroopers - (2018-04-11),1750,1414,39,-2
1/26/23,"I Donated $10,000 If They Said This Word (Twitch Streamers) - (2018-04-04)",1757,704,17,0
1/26/23,"Giving My 4,000,000th Subscriber 4,000,000 Cookies - (2018-04-02)",1759,448,12,-1
1/26/23,"I Tipped Waitresses $20,000 - (2018-03-30)",1762,1018,20,-1
1/26/23,Walking Into Random Stores With 100 Dinosaurs - (2018-03-22),1770,2471,45,0
1/26/23,I Built A Mansion Using Only Cardboard Boxes - (2018-03-20),1772,1174,21,-2
1/26/23,Breaking Glass Using Only Megaphones - (2018-03-17),1775,1384,32,-2
1/26/23,Tying My Shoes In Every State (World Record) - (2018-03-16),1776,639,17,0
1/26/23,"I Dropped $20,000 From A Drone - (2018-03-07)",1785,250,8,-1
1/26/23,"Donating $10,000 To Fortnite Streamers If They Win - (2018-03-03)",1789,162,3,-1
1/26/23,Trying To Fly Using Only Leaf Blowers - (2018-03-01),1791,516,13,-1
1/26/23,"Giving 3,000,000 Pennies To My 3,000,000th Subscriber - (2018-02-22)",1798,248,8,-1
1/26/23,"I Donated $30,000 To My Favorite Twitch Streamer (ninja) - (2018-02-21)",1799,266,6,1
1/26/23,"I Gave $20,000 To Random Homeless People - (2018-02-16)",1804,1471,42,-5
1/26/23,I Bought An Expensive Car Using Only $1 Bills - (2018-02-13),1807,3584,96,1
1/26/23,I Bought The World's Most Expensive Apps ($10k) - (2018-02-08),1812,1079,18,-1
1/26/23,We Delivered 100 Pizzas To Random Houses - (2018-02-02),1818,157,1,0
1/26/23,"I Donated $30,000 To A Random Twitch Streamer (world record) - (2018-01-27)",1824,396,18,-1
1/26/23,I Bought A Car Using Only Pennies - (2018-01-25),1826,465,18,-3
1/26/23,I Bought One Snickers Bar From Every Walmart - (2018-01-13),1838,2261,53,-1
1/26/23,Donating Big Donations To Twitch Streamers!!! - (2018-01-11),1840,583,9,1
1/26/23,How Many Balloons Does It Take To Float? - (2017-12-30),1852,2436,48,-4
1/26/23,"Can 10,000 Condoms Stop A Bullet? - (2017-12-28)",1854,2134,53,0
1/26/23,I Can't Believe I Found This Stuff On Amazon.. - (2017-12-22),1860,2733,87,-1
1/26/23,"Saying ""Keep Net Neutrality"" For 10 Hours - (2017-12-17)",1865,381,11,0
1/26/23,I Cant Believe What Was In This Abandoned Storage Unit.. - (2017-12-16),1866,1069,33,-2
1/26/23,What Can You Cut With Paper? - (2017-12-14),1868,2796,67,-7
1/26/23,Life Hacks You Need To Know - (2017-12-08),1874,347,7,0
1/26/23,"Can 100,000 Pieces Of Paper Stop A Bullet? - (2017-12-06)",1876,395,4,-4
1/26/23,"Giving My Mom $100,000 (Proudest Day Of My Life) - (2017-12-02)",1880,2624,119,-2
1/26/23,I Bought An Abandoned Storage Unit And Found This.. - (2017-12-01),1881,492,6,-2
1/26/23,"2,256 Miles In One Uber Ride (World Record) - (2017-10-28)",1915,1094,36,-1
1/26/23,i'm really sorry - (2017-10-26),1917,604,16,1
1/26/23,Hi Me In Two Years (Made Two Years Ago) - (2017-10-04),1939,745,22,-1
1/26/23,What Actually Happens When You Click On Spam Ads - (2017-10-01),1942,84,2,0
1/26/23,"Tipping Uber Drivers $10,000 - (2017-08-30)",1974,155,7,0
1/26/23,Going To The Connor McGregor fight! - (2017-08-28),1976,142,3,0
1/26/23,"Tipping Pizza Delivery Guys $10,000 - (2017-08-23)",1981,542,15,-1
1/26/23,"Microwaving my iPhone, what happens next might shock you.. - (2017-08-20)",1984,175,3,-1
1/26/23,"Saying Logan Paul 100,000 Times - (2017-08-19)",1985,2546,107,-4
1/26/23,"Donating $10,000 To Random Twitch Streamers - (2017-08-15)",1989,136,3,-1
1/26/23,Breaking The Law - (2017-07-09),2026,1347,51,-2
1/26/23,"Giving Homeless People $1,000 (Not Clickbait) - (2017-06-28)",2037,299,12,0
