Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
Walking Across The Entire Universe! - (2021-07-08),Walking Across The Entire Universe!,2021-07-08,2021-07-08 13:00:06,554,26722418,48235.4,735922,0.02754,29247,0.00109,625,10.417
1 vs 100 Player Manhunt! - (2021-06-30),1 vs 100 Player Manhunt!,2021-06-30,2021-06-30 14:25:11,562,61774296,109918.7,1110493,0.01798,37445,0.00061,763,12.717
World’s Largest Ramp! - (2021-06-11),World’s Largest Ramp!,2021-06-11,2021-06-11 14:27:22,581,51321277,88332.7,962244,0.01875,37492,0.00073,562,9.367
I Gave Away My Credit Card! - (2021-06-04),I Gave Away My Credit Card!,2021-06-04,2021-06-04 13:10:09,588,25251787,42945.2,750954,0.02974,28254,0.00112,483,8.05
"10,000 Zombies vs Mutant Wither! - (2021-05-22)","10,000 Zombies vs Mutant Wither!",2021-05-22,2021-05-22 13:38:56,601,64934327,108043.8,1142777,0.0176,37806,0.00058,520,8.667
"Mining 1,000,000 Blocks Alone! - (2021-05-12)","Mining 1,000,000 Blocks Alone!",2021-05-12,2021-05-12 13:18:01,611,52456139,85852.9,1256360,0.02395,40788,0.00078,540,9.0
If You Build A Lamborghini I'll Pay For It! - (2021-04-26),If You Build A Lamborghini I'll Pay For It!,2021-04-26,2021-04-26 13:08:34,627,64049676,102152.6,1696457,0.02649,74070,0.00116,624,10.4
"$10,000 For Every Diamond! - (2021-04-22)","$10,000 For Every Diamond!",2021-04-22,2021-04-22 13:00:13,631,57214002,90672.0,1164980,0.02036,28509,0.0005,605,10.083
1000 People Build 10 Countries! - (2021-04-15),1000 People Build 10 Countries!,2021-04-15,2021-04-15 14:07:15,638,48565499,76121.5,1131421,0.0233,40429,0.00083,599,9.983
World’s Largest Explosion! - (2021-04-07),World’s Largest Explosion!,2021-04-07,2021-04-07 13:45:24,646,113071974,175034.0,1586999,0.01404,76501,0.00068,512,8.533
Hide And Seek Across The Earth! - (2021-04-04),Hide And Seek Across The Earth!,2021-04-04,2021-04-04 13:14:54,649,64035428,98667.8,1396539,0.02181,66815,0.00104,589,9.817
"Giving A Random Player $50,000 If We Win! - (2021-03-30)","Giving A Random Player $50,000 If We Win!",2021-03-30,2021-03-30 15:01:46,654,22092135,33780.0,746114,0.03377,40904,0.00185,482,8.033
1000 People vs 1 Infected! - (2021-03-28),1000 People vs 1 Infected!,2021-03-28,2021-03-28 13:16:11,656,38528244,58732.1,1448396,0.03759,33929,0.00088,546,9.1
"Donating $100,000 To Twitch Streamers! - (2021-03-25)","Donating $100,000 To Twitch Streamers!",2021-03-25,2021-03-25 14:48:36,659,50293856,76318.4,1476104,0.02935,46996,0.00093,623,10.383
"Would You Risk $5,000 for $100,000? - (2021-03-16)","Would You Risk $5,000 for $100,000?",2021-03-16,2021-03-16 14:21:11,668,66833397,100050.0,1373969,0.02056,44467,0.00067,629,10.483
"Donating $50,000 If You Beat Minecraft! - (2021-03-07)","Donating $50,000 If You Beat Minecraft!",2021-03-07,2021-03-07 16:23:48,677,40250071,59453.6,1046244,0.02599,36102,0.0009,530,8.833
"I Hosted A $50,000 Talent Show! - (2021-02-28)","I Hosted A $50,000 Talent Show!",2021-02-28,2021-02-28 15:06:49,684,29393239,42972.6,846175,0.02879,37013,0.00126,722,12.033
Minecraft But Everything is 10x Bigger! - (2021-02-24),Minecraft But Everything is 10x Bigger!,2021-02-24,2021-02-24 14:15:59,688,29873409,43420.7,695919,0.0233,31877,0.00107,541,9.017
1 vs 10 Hunters in GTA! - (2021-02-16),1 vs 10 Hunters in GTA!,2021-02-16,2021-02-16 14:03:45,696,61455121,88297.6,1117455,0.01818,35313,0.00057,605,10.083
I Walked Across The Earth! - (2021-02-03),I Walked Across The Earth!,2021-02-03,2021-02-03 14:15:52,709,40484446,57100.8,1101141,0.0272,57521,0.00142,638,10.633
1000 Zombies vs Mutant Enderman! - (2021-01-27),1000 Zombies vs Mutant Enderman!,2021-01-27,2021-01-27 14:00:23,716,79415601,110915.6,1453627,0.0183,50037,0.00063,616,10.267
The Hardest Lava Escape! - (2021-01-23),The Hardest Lava Escape!,2021-01-23,2021-01-23 14:03:59,720,21473521,29824.3,746499,0.03476,29299,0.00136,484,8.067
"I Hid $100,000 On The Dream SMP! - (2021-01-13)","I Hid $100,000 On The Dream SMP!",2021-01-13,2021-01-13 15:08:43,730,35351869,48427.2,1019309,0.02883,48189,0.00136,616,10.267
"If You Build a House, I'll Pay For It! - (2021-01-02)","If You Build a House, I'll Pay For It!",2021-01-02,2021-01-02 14:07:38,741,90175499,121694.3,2219067,0.02461,83510,0.00093,610,10.167
I Tried The First Ever Version Of Minecraft! - (2020-12-27),I Tried The First Ever Version Of Minecraft!,2020-12-27,2020-12-27 14:05:40,747,31557089,42245.1,811154,0.0257,38914,0.00123,594,9.9
"Bedwars, But With 100 Players! - (2020-12-24)","Bedwars, But With 100 Players!",2020-12-24,2020-12-24 16:02:02,750,42050828,56067.8,848155,0.02017,33256,0.00079,583,9.717
"Minecraft, But It's Only One Block! - (2020-12-17)","Minecraft, But It's Only One Block!",2020-12-17,2020-12-17 15:14:17,757,91011360,120226.4,1055435,0.0116,34045,0.00037,607,10.117
"Donating $50,000 To Streamers With 0 Viewers - (2020-12-13)","Donating $50,000 To Streamers With 0 Viewers",2020-12-13,2020-12-13 14:10:23,761,60314485,79256.9,2576898,0.04272,85625,0.00142,603,10.05
I Modded Among Us With 100 Zombies! - (2020-12-11),I Modded Among Us With 100 Zombies!,2020-12-11,2020-12-11 14:23:18,763,33126766,43416.5,708066,0.02137,25716,0.00078,527,8.783
"Minecraft, But With Only 1 Heart! - (2020-12-07)","Minecraft, But With Only 1 Heart!",2020-12-07,2020-12-07 14:01:20,767,27394495,35716.4,775124,0.02829,24900,0.00091,606,10.1
"I Made a $100,000 Among Us Tournament! - (2020-12-04)","I Made a $100,000 Among Us Tournament!",2020-12-04,2020-12-04 15:41:15,770,56448960,73310.3,1249981,0.02214,47088,0.00083,612,10.2
I Made 100 Players Escape An Impossible Maze! - (2020-12-02),I Made 100 Players Escape An Impossible Maze!,2020-12-02,2020-12-02 15:01:02,772,69186880,89620.3,1392041,0.02012,37465,0.00054,616,10.267
I Won The Hardest Round Ever in Among US! - (2020-11-29),I Won The Hardest Round Ever in Among US!,2020-11-29,2020-11-29 16:19:06,775,22548875,29095.3,644630,0.02859,20689,0.00092,570,9.5
"100 Players, But Lava Rises Every Minute! - (2020-11-27)","100 Players, But Lava Rises Every Minute!",2020-11-27,2020-11-27 16:10:15,777,63701776,81984.3,927125,0.01455,36807,0.00058,601,10.017
The Biggest Outplay Ever in 3D Among Us! - (2020-11-25),The Biggest Outplay Ever in 3D Among Us!,2020-11-25,2020-11-25 15:10:59,779,17182766,22057.5,502668,0.02925,18412,0.00107,606,10.1
"Last To Leave Circle Wins $10,000! - (2020-11-21)","Last To Leave Circle Wins $10,000!",2020-11-21,2020-11-21 15:40:22,783,34098481,43548.5,806975,0.02367,28980,0.00085,606,10.1
"Minecraft, But Every Minute There's Random Chaos! - (2020-11-19)","Minecraft, But Every Minute There's Random Chaos!",2020-11-19,2020-11-19 15:10:57,785,46855732,59688.8,780772,0.01666,29537,0.00063,615,10.25
"I Made a $50,000 Player Building Competition! - (2020-11-17)","I Made a $50,000 Player Building Competition!",2020-11-17,2020-11-17 14:58:13,787,31963902,40614.9,826991,0.02587,39389,0.00123,614,10.233
"Among Us, But It's 3D! - (2020-11-11)","Among Us, But It's 3D!",2020-11-11,2020-11-11 14:03:22,793,35186296,44371.1,948813,0.02697,37137,0.00106,615,10.25
"First To Defeat Hardest Boss Wins $10,000! - (2020-11-09)","First To Defeat Hardest Boss Wins $10,000!",2020-11-09,2020-11-09 14:30:43,795,10353523,13023.3,395127,0.03816,20925,0.00202,611,10.183
"The Craziest 8,000 IQ Among Us Outplay Ever! - (2020-11-05)","The Craziest 8,000 IQ Among Us Outplay Ever!",2020-11-05,2020-11-05 15:21:18,799,38617578,48332.4,908144,0.02352,30973,0.0008,601,10.017
