Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"Among Us, But It's 3D! - (2020-11-11)","Among Us, But It's 3D!",2020-11-11,2020-11-11 14:03:22,802,35252417,43955.6,949699,0.02693996839989723,37091,0.0010521548068604771,615,10.25
"First To Defeat Hardest Boss Wins $10,000! - (2020-11-09)","First To Defeat Hardest Boss Wins $10,000!",2020-11-09,2020-11-09 14:30:43,804,10376954,12906.7,395562,0.03811927854744273,20897,0.0020137894029404004,611,10.183
"The Craziest 8,000 IQ Among Us Outplay Ever! - (2020-11-05)","The Craziest 8,000 IQ Among Us Outplay Ever!",2020-11-05,2020-11-05 15:21:18,808,38703689,47900.6,909230,0.023492075910386732,30956,0.0007998203995489938,601,10.017
"Whatever You Buy, I'll Pay For! - (2020-11-02)","Whatever You Buy, I'll Pay For!",2020-11-02,2020-11-02 14:00:53,811,39894840,49192.2,905865,0.022706319915056682,27304,0.0006843992857221635,601,10.017
"Among Us But PewDiePie Goes 90,000 IQ! - (2020-10-31)","Among Us But PewDiePie Goes 90,000 IQ!",2020-10-31,2020-10-31 14:04:13,813,50071522,61588.6,1092578,0.021820347302404747,38847,0.0007758302214180748,614,10.233
Breaking As Many Laws As Possible in 1 Hour! - (2020-10-28),Breaking As Many Laws As Possible in 1 Hour!,2020-10-28,2020-10-28 17:34:56,816,24597241,30143.7,612207,0.024889254855859647,27808,0.0011305332984296898,616,10.267
"Among Us But Every Winner Gets $10,000! - (2020-10-23)","Among Us But Every Winner Gets $10,000!",2020-10-23,2020-10-23 13:00:01,821,22205551,27047.0,685661,0.03087790976229322,25732,0.0011588093445643389,504,8.4
"I Made a $20,000 Among Us Challenge! - (2020-10-21)","I Made a $20,000 Among Us Challenge!",2020-10-21,2020-10-21 13:02:15,823,31380379,38129.3,779377,0.02483644317998836,29543,0.0009414481577803761,626,10.433
Win This Game & I'll Give You a Tesla! - (2020-10-18),Win This Game & I'll Give You a Tesla!,2020-10-18,2020-10-18 14:04:17,826,17212478,20838.4,536240,0.031154142942114434,30801,0.001789457624869586,657,10.95
Among Us With 100 Real Players! - (2020-10-16),Among Us With 100 Real Players!,2020-10-16,2020-10-16 13:36:36,828,61699218,74516.0,1258166,0.020391927819895544,46842,0.0007591992494945398,613,10.217
I Visited All 7 Wonders of The World! - (2020-10-11),I Visited All 7 Wonders of The World!,2020-10-11,2020-10-11 14:31:20,833,22288230,26756.6,673020,0.03019620669743627,658271,0.029534467295070088,606,10.1
"Among Us but LazarBeam Goes 4,000 IQ! - (2020-10-08)","Among Us but LazarBeam Goes 4,000 IQ!",2020-10-08,2020-10-08 13:43:36,836,47516644,56838.1,1130063,0.023782466623695056,48911,0.0010293445808167766,601,10.017
